case,pressure_Pa,step,time_s,T_sim_K,P_sim_Pa,mean_speed_sim,collisions_total,nu_meas,mfp_meas,n_theory,nu_theory,mfp_theory,mean_speed_theory,N_real,weight
p000_1.0e-06Pa,1.00E-06,900,0.01802,294.2956369,2.02E-06,471.2958638,1,3349.505418,0.140706106,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,910,0.01822,294.2956369,2.02E-06,471.2958638,1,3312.73807,0.142267772,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,920,0.01842,294.2956369,2.02E-06,471.2958638,1,3276.769144,0.143829438,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,930,0.01862,294.2956369,2.02E-06,471.2958638,1,3241.572913,0.145391104,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,940,0.01882,294.2956369,2.02E-06,471.2958638,1,3207.124741,0.14695277,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,950,0.01902,294.2956369,2.02E-06,471.2958638,1,3173.401032,0.148514436,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,960,0.01922,294.2956369,2.02E-06,471.2958638,1,3140.379169,0.150076102,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,970,0.01942,294.2956369,2.02E-06,471.2958638,1,3108.037468,0.151637768,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,980,0.01962,294.2956369,2.02E-06,471.2958638,1,3076.355129,0.153199434,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,990,0.01982,294.2956369,2.02E-06,471.2958638,1,3045.312191,0.1547611,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1000,0.02002,294.2956369,2.02E-06,471.2958638,1,3014.889492,0.156322766,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1010,0.02022,294.2956369,2.02E-06,471.2958638,1,2985.068627,0.157884432,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1020,0.02042,294.2956369,2.02E-06,471.2958638,1,2955.831912,0.159446098,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1030,0.02062,294.2956369,2.02E-06,471.2958638,1,2927.162349,0.161007764,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1040,0.02082,294.2956369,2.02E-06,471.2958638,1,2899.043594,0.16256943,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1050,0.02102,294.2956369,2.02E-06,471.2958638,1,2871.459925,0.164131096,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1060,0.02122,294.2956369,2.02E-06,471.2958638,1,2844.396213,0.165692762,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1070,0.02142,294.2956369,2.02E-06,471.2958638,1,2817.837891,0.167254428,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1080,0.02162,294.2956369,2.02E-06,471.2958638,1,2791.770936,0.168816094,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1090,0.02182,294.2956369,2.02E-06,471.2958638,1,2766.181835,0.17037776,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1100,0.02202,294.2956369,2.02E-06,471.2958638,1,2741.057567,0.171939426,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1110,0.02222,294.2956369,2.02E-06,471.2958638,1,2716.385582,0.173501092,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1120,0.02242,294.2956369,2.02E-06,471.2958638,1,2692.153775,0.175062758,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1130,0.02262,294.2956369,2.02E-06,471.2958638,1,2668.35047,0.176624424,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1140,0.02282,294.2956369,2.02E-06,471.2958638,1,2644.964401,0.17818609,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1150,0.02302,294.2956369,2.02E-06,471.2958638,1,2621.984693,0.179747756,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1160,0.02322,294.2956369,2.02E-06,471.2958638,1,2599.400846,0.181309422,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1170,0.02342,294.2956369,2.02E-06,471.2958638,1,2577.202717,0.182871088,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1180,0.02362,294.2956369,2.02E-06,471.2958638,1,2555.380509,0.184432754,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1190,0.02382,294.2956369,2.02E-06,471.2958638,1,2533.924754,0.18599442,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1200,0.02402,294.2956369,2.02E-06,471.2958638,1,2512.826296,0.187556086,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1210,0.02422,294.2956369,2.02E-06,471.2958638,1,2492.076285,0.189117752,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1220,0.02442,294.2956369,2.02E-06,471.2958638,1,2471.66616,0.190679418,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1230,0.02462,294.2956369,2.02E-06,471.2958638,1,2451.587637,0.192241084,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1240,0.02482,294.2956369,2.02E-06,471.2958638,1,2431.832701,0.19380275,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1250,0.02502,294.2956369,2.02E-06,471.2958638,1,2412.39359,0.195364416,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1260,0.02522,294.2956369,2.02E-06,471.2958638,1,2393.262793,0.196926081,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1270,0.02542,294.2956369,2.02E-06,471.2958638,1,2374.43303,0.198487747,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
p000_1.0e-06Pa,1.00E-06,1280,0.02562,294.2956369,2.02E-06,471.2958638,1,2355.897253,0.200049413,2.41432E+14,0.047853419,7036.179328,476.173109,241432350.5,120716.1753
